p_name,p_club,p_nation,p_league,p_rating,p_position,Alternate_Positions,Card_Version,Run_Style,Price,Price_Variation,Skills_Star,Weak_Foot_Star,Attack_Workrate,Defense_Workrate,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defense / Speed,Physical / Positioning,Height,Popularity,Base_Stats,Ingame_Stats
Saïd Hamulic,Vitesse,Bosnia and Herzegovina,Eredivisie,67,ST,"LM,CF",normal,Controlled,0.0,300,3,3,H,M,79,65,59,67,28,67,"188cm | 6'2""",2,365,1715
Matěj Hanousek,MKE Ankaragücü,Czech Republic,Trendyol Süper Lig,67,LWB,"LB,LM",normal,Controlled,0.0,200,2,2,H,H,79,44,60,64,61,73,"182cm | 6'0""",0,381,1759
Wes Harding,Millwall,Jamaica,EFL Championship,67,CB,"RWB,RB",normal,Controlled Lengthy,0.0,250,2,4,M,M,71,40,54,60,66,77,"181cm | 5'11""",1,368,1656
Peter Haring,Hearts,Austria,cinch Prem,67,CDM,CM,normal,Mostly Lengthy,0.0,2K,2,3,M,M,57,54,63,62,66,76,"187cm | 6'2""",0,378,1759
Kento Hashimoto,SD Huesca,Japan,LALIGA HYPERMOTION,67,CM,0,normal,Controlled,200.0,0,3,2,M,M,73,61,62,64,65,78,"183cm | 6'0""",1,403,1891
Niklas Hauptmann,Dynamo Dresden,Germany,3. Liga,67,CM,0,normal,Controlled,200.0,0,3,3,M,M,58,55,68,72,56,49,"176cm | 5'9""",3,358,1727
Jonny Hayes,Aberdeen,Republic of Ireland,cinch Prem,67,LB,LWB,normal,Controlled Explosive,0.0,200,3,4,H,H,79,60,66,69,61,66,"173cm | 5'8""",0,401,1917
Laurent Henkinet,Standard Liège,Belgium,1A Pro League,67,GK,0,normal,Controlled Lengthy,350.0,0,1,3,M,M,69,67,69,66,51,65,"188cm | 6'2""",0,387,938
Bryan Henning,Viktoria Köln,Germany,3. Liga,67,CM,CAM,normal,Explosive,0.0,200,3,3,H,H,68,55,60,69,64,70,"172cm | 5'8""",1,386,1802
Nelson Hernández,Dep. Táchira,Venezuela,Sudamericana,67,RB,"RWB,LB,RM",normal,Controlled Explosive,0.0,300,2,3,H,L,74,55,64,68,61,58,"170cm | 5'7""",0,380,1738
Diego Armando Hernández,Dep. Pereira,Colombia,Libertadores,67,CB,0,normal,Lengthy,300.0,0,2,3,M,M,57,28,40,40,67,73,"189cm | 6'2""",0,305,1424
Hector Hevel,FC Cartagena,Holland,LALIGA HYPERMOTION,67,CM,CAM,normal,Controlled Explosive,0.0,200,3,3,H,M,68,68,63,72,51,42,"171cm | 5'7""",1,364,1711
George Hirst,Ipswich,England,EFL Championship,67,ST,CF,normal,Mostly Lengthy,0.0,250,3,3,H,M,72,66,50,62,31,73,"191cm | 6'3""",1,354,1634
Ki-Jana Hoever,Stoke City,Holland,EFL Championship,67,RB,RWB,normal,Controlled Explosive,0.0,250,2,3,H,M,73,45,63,65,62,63,"182cm | 6'0""",0,371,1789
Jonathan Hogg,Huddersfield,England,EFL Championship,67,CDM,CM,normal,Controlled,0.0,250,2,3,L,H,43,52,59,64,65,75,"176cm | 5'9""",1,358,1728
James Holland,FK Austria Wien,Australia,Ö. Bundesliga,67,CDM,CM,normal,Controlled Lengthy,0.0,200,2,4,M,H,53,61,65,67,65,70,"182cm | 6'0""",0,381,1855
Tom Holmes,Reading,England,EFL League One,67,CB,0,normal,Controlled Lengthy,250.0,0,2,2,L,M,50,25,56,56,67,73,"189cm | 6'2""",0,327,1545
Jordan Holsgrove,Estoril Praia,Scotland,Liga Portugal,67,CM,"CDM,CAM",normal,Controlled,0.0,200,3,3,M,M,67,54,69,68,54,61,"180cm | 5'11""",1,373,1768
Santiago Homenchenko,Peñarol,Uruguay,Sudamericana,67,CM,"CDM,LM",normal,Controlled Lengthy,0.0,250,3,3,M,H,72,61,64,62,62,74,"185cm | 6'1""",0,395,1849
Jeong Un Hong,Daegu FC,Korea Republic,K League 1,67,CB,0,normal,Mostly Lengthy,300.0,0,2,3,M,H,54,38,57,53,66,76,"187cm | 6'2""",0,344,1632
Matthew Hoppe,SJ Earthquakes,United States,MLS,67,ST,CF,normal,Controlled,0.0,250,2,3,M,M,73,66,56,65,24,57,"190cm | 6'3""",2,341,1618
Sam Hoskins,Northampton,England,EFL League One,67,LM,LW,normal,Explosive,0.0,350,3,3,H,H,86,64,60,67,48,69,"173cm | 5'8""",1,394,1860
Andi Hoti,1. FC Magdeburg,Kosovo,Bundesliga 2,67,CB,0,normal,Mostly Lengthy,200.0,0,2,3,L,M,63,27,46,50,68,70,"191cm | 6'3""",1,324,1474
Guillaume Hubert,RWD Molenbeek,Belgium,1A Pro League,67,GK,0,normal,Controlled Lengthy,500.0,0,1,2,M,M,71,64,65,66,42,65,"198cm | 6'6""",0,373,813
Joseph Hungbo,1. FC Nürnberg,England,Bundesliga 2,67,RW,RM,normal,Explosive,0.0,200,3,3,H,M,82,62,61,68,33,58,"173cm | 5'8""",5,364,1687
James Husband,Blackpool,England,EFL League One,67,LB,"CB,LWB",normal,Controlled,0.0,300,2,3,M,M,65,49,58,64,67,70,"179cm | 5'10""",0,373,1760
Sam Hutchinson,Reading,England,EFL League One,67,CB,CDM,normal,Controlled Lengthy,0.0,300,2,3,M,H,49,51,61,58,66,72,"182cm | 6'0""",0,357,1726
Alex Ibacache,Belgrano,Chile,LPF,67,LB,"LWB,LM",normal,Controlled,0.0,300,2,1,M,L,78,45,55,63,61,71,"175cm | 5'9""",0,373,1677
Pablo Ibáñez Lumbreras,CA Osasuna,Spain,LALIGA EA SPORTS,67,CM,CDM,normal,Controlled,0.0,300,2,3,M,H,57,58,63,63,59,55,"179cm | 5'10""",1,355,1704
Adam Idah,Norwich,Republic of Ireland,EFL Championship,67,ST,CF,normal,Mostly Lengthy,0.0,400,3,3,H,M,77,67,44,63,23,72,"190cm | 6'3""",4,346,1604
Blendi Idrizi,FC Schalke 04,Kosovo,Bundesliga 2,67,CAM,CM,normal,Controlled Explosive,0.0,250,3,3,H,M,71,59,63,72,50,59,"179cm | 5'10""",3,374,1779
Jay Idzes,Venezia,Holland,Serie BKT,67,CB,CDM,normal,Mostly Lengthy,0.0,200,2,3,M,M,58,46,59,58,66,74,"184cm | 6'0""",0,361,1697
Gino Infantino,Fiorentina,Argentina,Serie A TIM,67,RW,"RM,CM,LW",normal,Controlled Explosive,0.0,400,3,3,M,M,75,61,64,71,48,59,"179cm | 5'10""",0,378,1771
Roberto Inglese,Parma,Italy,Serie BKT,67,ST,CF,normal,Controlled,0.0,250,3,3,M,M,48,69,51,64,26,67,"186cm | 6'1""",0,325,1592
Rodrigo Insua,Barracas Central,Argentina,LPF,67,LB,"LWB,LM",normal,Controlled Explosive,0.0,350,2,2,H,M,79,56,62,62,62,64,"181cm | 5'11""",0,385,1797
Alexandru Ioni?a,FC Rapid 1923,Romania,SUPERLIGA,67,LW,"LM,CAM",normal,Controlled Explosive,0.0,200,4,4,M,M,75,62,65,71,37,60,"172cm | 5'8""",0,370,1760
Dominic Iorfa,Sheffield Wed,England,EFL Championship,67,CB,RB,normal,Lengthy,0.0,300,2,3,H,M,74,40,54,57,65,73,"193cm | 6'4""",1,363,1588
Tim Iroegbunam,Aston Villa,England,Premier League,67,CDM,CM,normal,Controlled Lengthy,0.0,450,3,4,M,L,66,57,63,66,62,70,"183cm | 6'0""",1,384,1798
Jefferson F. Isidio,Gangwon FC,Brazil,K League 1,67,LW,LM,normal,Controlled Explosive,0.0,250,4,3,M,M,75,65,63,70,48,53,"176cm | 5'9""",0,374,1774
Marko Ivezić,Holstein Kiel,Serbia,Bundesliga 2,67,CDM,CB,normal,Mostly Lengthy,0.0,250,2,3,M,M,65,39,56,57,68,71,"191cm | 6'3""",1,356,1626
Paul Izzo,Melb. Victory,Australia,A-League,67,GK,0,normal,Controlled Lengthy,300.0,0,1,3,M,M,68,63,63,69,55,66,"185cm | 6'1""",2,384,940
Diego Manuel J. da Silva Moreira,Chelsea,Portugal,Premier League,67,LM,LW,normal,Mostly Explosive,0.0,0,3,3,H,L,86,58,56,75,31,66,"179cm | 5'10""",16,372,1715
Nordin Jackers,Club Brugge,Belgium,1A Pro League,67,GK,0,normal,Controlled,400.0,0,1,2,M,M,67,66,59,69,43,65,"189cm | 6'2""",1,369,801
Thore Jacobsen,SV Elversberg,Germany,Bundesliga 2,67,CDM,0,normal,Controlled,300.0,0,2,3,H,H,69,55,64,67,63,70,"182cm | 6'0""",1,388,1807
Miguel Jacquet,Platense,Paraguay,LPF,67,CB,0,normal,Controlled,200.0,0,2,3,L,M,60,34,44,49,67,72,"179cm | 5'10""",0,326,1490
Laurent Jans,SV Waldhof,Luxembourg,3. Liga,67,RB,"RWB,LB",normal,Controlled,0.0,250,3,4,M,M,68,49,63,64,64,69,"175cm | 5'9""",-1,377,1798
Wolke Janssens,STVV,Belgium,1A Pro League,67,CB,"RWB,RB",normal,Controlled,0.0,300,2,3,H,M,64,64,59,64,68,67,"185cm | 6'1""",0,386,1837
Nicolas Janvier,Alanyaspor,France,Trendyol Süper Lig,67,CM,0,normal,Controlled,200.0,0,3,3,H,M,65,58,66,67,62,66,"172cm | 5'8""",0,384,1839
Renny Jaramillo,Delfín S.C.,Ecuador,Sudamericana,67,CDM,CM,normal,Controlled,0.0,200,3,3,M,H,63,58,61,64,64,68,"177cm | 5'10""",0,378,1794
Fredrik Oldrup Jensen,Vålerenga Fotball,Norway,Eliteserien,67,CDM,CB,normal,Controlled Lengthy,0.0,250,2,3,M,M,50,51,60,61,64,71,"186cm | 6'1""",0,357,1741
Seung Won Jeong,Suwon Samsung,Korea Republic,K League 1,67,RWB,"RB,RM,CM",normal,Controlled Explosive,0.0,300,3,3,H,H,68,57,62,67,59,71,"173cm | 5'8""",0,384,1838
Xiang Ji,Shandong Taishan,China PR,CSL,67,RB,"RWB,RM",normal,Controlled Lengthy,0.0,250,3,3,H,H,72,57,66,63,63,73,"185cm | 6'1""",0,394,1877
Jin Woo Jo,Daegu FC,Korea Republic,K League 1,67,CB,0,normal,Lengthy,250.0,0,2,3,L,M,61,37,44,40,67,75,"189cm | 6'2""",0,324,1491
Jóhannesson,Düsseldorf,Iceland,Bundesliga 2,67,CM,RW,normal,Controlled Explosive,0.0,200,3,3,H,H,74,60,67,68,61,69,"180cm | 5'11""",2,399,1903
Carl Johansson,Holstein Kiel,Sweden,Bundesliga 2,67,CB,0,normal,Controlled Lengthy,200.0,0,2,2,M,M,53,27,44,49,67,73,"187cm | 6'2""",0,313,1440
George Johnston,Bolton,Scotland,EFL League One,67,CB,0,normal,Controlled Lengthy,200.0,0,2,3,H,M,65,33,51,61,66,74,"181cm | 5'11""",1,350,1622
Paul Joly,AJ Auxerre,France,Ligue 2 BKT,67,RB,"RWB,LB",normal,Controlled Lengthy,0.0,200,2,3,M,M,58,31,55,54,68,69,"182cm | 6'0""",0,335,1540
Thomas Jones,Club Magallanes,Chile,Sudamericana,67,RW,"RM,CAM,LW",normal,Controlled Explosive,0.0,200,3,3,H,L,73,60,65,70,33,56,"171cm | 5'7""",0,357,1667
Cristóbal Jorquera,Club Magallanes,Chile,Sudamericana,67,CAM,CM,normal,Controlled,0.0,700,3,5,H,M,68,65,68,69,50,60,"173cm | 5'8""",0,380,1854
Daniel Eduardo Juárez,Unión,Argentina,LPF,67,LM,"RM,CAM,LW",normal,Explosive,0.0,300,3,3,H,M,83,68,61,67,40,61,"174cm | 5'9""",0,380,1770
Gideon Jung,Fürth,Germany,Bundesliga 2,67,CB,CDM,normal,Mostly Lengthy,0.0,250,2,3,H,M,65,41,59,60,67,70,"189cm | 6'2""",0,362,1662
Markus Kaasa,Molde FK,Norway,Eliteserien,67,CM,0,normal,Controlled Explosive,200.0,0,3,3,M,M,71,61,64,70,58,65,"175cm | 5'9""",0,389,1841
Vladyslav Kabaev,Dynamo Kyiv,Ukraine,Ukrayina Liha,67,LM,LW,normal,Controlled Explosive,0.0,200,3,3,M,M,74,53,63,67,29,41,"177cm | 5'10""",2,327,1522
Eric Kahl,AGF,Sweden,3F Superliga,67,LWB,LB,normal,Controlled Explosive,0.0,200,3,2,M,M,78,52,61,64,61,66,"178cm | 5'10""",0,382,1777
Tobias Kainz,TSV Hartberg,Austria,Ö. Bundesliga,67,CDM,"RB,CM",normal,Controlled Explosive,0.0,350,2,3,M,H,71,58,65,65,64,67,"174cm | 5'9""",0,390,1858
Mattias Käit,FC Rapid 1923,Estonia,SUPERLIGA,67,CM,CDM,normal,Controlled,0.0,200,3,3,M,H,72,62,62,66,64,73,"187cm | 6'2""",0,399,1859
Osman Kakay,QPR,Sierra Leone,EFL Championship,67,RB,"RWB,CB",normal,Controlled Explosive,0.0,250,2,3,H,H,72,26,48,64,65,58,"180cm | 5'11""",2,333,1508
Ola Kamara,BK Häcken,Norway,Allsvenskan,67,ST,CF,normal,Controlled Lengthy,0.0,300,3,3,M,M,72,66,59,64,33,73,"185cm | 6'1""",0,367,1771
Alhaji Kamara,Randers FC,Sierra Leone,3F Superliga,67,ST,CF,normal,Controlled,0.0,200,3,3,M,M,79,63,52,67,32,78,"180cm | 5'11""",0,371,1730
Dijon Kameri,RB Salzburg,Austria,Ö. Bundesliga,67,CAM,CM,normal,Controlled Explosive,0.0,500,3,3,M,M,74,66,63,70,38,63,"181cm | 5'11""",1,374,1781
Marco Kana,RSC Anderlecht,Belgium,1A Pro League,67,CB,"CDM,CM",normal,Controlled,0.0,0,2,3,M,M,68,32,65,68,66,69,"183cm | 6'0""",0,368,1715
Ahmetcan Kaplan,Ajax,Turkey,Eredivisie,67,CB,0,normal,Mostly Lengthy,250.0,0,2,2,M,M,63,30,42,48,67,70,"189cm | 6'2""",4,320,1476
Goran Karacic,Adana Demirspor,Bosnia and Herzegovina,Trendyol Süper Lig,67,GK,0,normal,Controlled,250.0,0,1,2,M,M,70,70,64,69,31,60,"194cm | 6'4""",0,364,695
Ali Karimi,Kayserispor,Iran,Trendyol Süper Lig,67,CM,CDM,normal,Controlled Lengthy,0.0,200,2,3,M,M,59,60,64,67,64,70,"185cm | 6'1""",4,384,1814
Jon Karrikaburu,Real Sociedad,Spain,LALIGA EA SPORTS,67,ST,CF,normal,Controlled,0.0,0,3,3,M,M,71,67,50,66,26,58,"183cm | 6'0""",0,338,1585
Fabio Kaufmann,Braunschweig,Germany,Bundesliga 2,67,RW,"RM,CM,ST",normal,Mostly Explosive,0.0,550,3,3,M,M,80,61,59,69,52,69,"181cm | 5'11""",-1,390,1829
Liam Kelly,Motherwell,Scotland,cinch Prem,67,GK,0,normal,Controlled,1300.0,0,1,3,M,M,68,66,70,67,37,67,"184cm | 6'0""",0,375,824
Naoufel Khacef,Gaziantep,Algeria,Trendyol Süper Lig,67,LB,LWB,normal,Controlled,0.0,250,2,2,M,M,67,44,49,69,65,66,"179cm | 5'10""",0,360,1653
Facundo Kidd,River Plate,Uruguay,Sudamericana,67,LB,LWB,normal,Controlled Explosive,0.0,1.5K,2,2,M,M,74,48,55,57,66,65,"176cm | 5'9""",0,365,1734
David Kiki,Farul Constanța,Benin,SUPERLIGA,67,LB,"RB,LWB",normal,Controlled,0.0,250,3,3,H,M,77,49,57,64,62,75,"180cm | 5'11""",0,384,1753
Jun Su Kim,Suwon Samsung,Korea Republic,K League 1,67,CB,0,normal,Controlled Lengthy,300.0,0,2,4,L,H,68,32,52,61,67,67,"185cm | 6'1""",0,347,1602
Seung Dae Kim,Pohang Steelers,Korea Republic,K League 1,67,RM,"CAM,RW,ST",normal,Controlled Explosive,0.0,300,3,4,H,M,77,60,62,66,44,57,"175cm | 5'9""",0,366,1769
Bo Seop Kim,Incheon United,Korea Republic,K League 1,67,RW,"RWB,RM",normal,Controlled,0.0,300,4,3,M,M,86,62,57,68,44,70,"183cm | 6'0""",1,387,1763
Andy King,Bristol City,Wales,EFL Championship,67,CM,CDM,normal,Controlled,0.0,200,3,3,M,M,52,64,66,65,68,60,"184cm | 6'0""",1,375,1854
Liam Kitching,Barnsley,England,EFL League One,67,CB,0,normal,Lengthy,0.0,0,2,2,H,M,65,32,45,47,65,78,"191cm | 6'3""",2,332,1483
Anders Klynge,Silkeborg IF,Denmark,3F Superliga,67,CM,0,normal,Controlled,200.0,0,2,2,M,M,68,55,64,68,61,70,"175cm | 5'9""",0,386,1808
Anthony Knockaert,Fulham,France,Premier League,67,RM,RW,normal,Controlled Explosive,0.0,0,4,3,H,M,67,65,67,71,47,60,"172cm | 5'8""",1,377,1849
Vladyslav Kochergin,Raków,Ukraine,PKO BP Ekstraklasa,67,CM,CF,normal,Controlled,0.0,250,2,3,H,M,66,66,67,67,40,60,"178cm | 5'10""",2,366,1717
Giorgi Kochorashvili,Levante UD,Georgia,LALIGA HYPERMOTION,67,CDM,CM,normal,Controlled,0.0,200,2,3,M,H,62,65,65,69,64,57,"176cm | 5'9""",0,382,1828
Sven Köhler,Odense BK,Germany,3F Superliga,67,CM,CDM,normal,Controlled Lengthy,0.0,300,2,3,M,H,64,59,63,62,63,80,"185cm | 6'1""",0,391,1864
Aboubakary Koita,STVV,Belgium,1A Pro League,67,LWB,"LB,LM",normal,Mostly Explosive,0.0,350,4,4,H,M,83,67,62,70,59,64,"175cm | 5'9""",4,405,1884
Karim Konaté,RB Salzburg,Côte d'Ivoire,Ö. Bundesliga,67,ST,"CAM,CF",normal,Controlled Explosive,0.0,300,3,3,M,H,80,67,52,68,39,59,"178cm | 5'10""",1,365,1721
Ismaël Koné,Watford,Canada,EFL Championship,67,CM,0,normal,Controlled,300.0,0,3,4,H,M,78,58,61,69,58,67,"188cm | 6'2""",6,391,1776
Youssouf Koné,RWD Molenbeek,Mali,1A Pro League,67,LB,"CB,LWB",normal,Controlled,0.0,300,3,3,H,M,73,46,60,67,64,68,"174cm | 5'9""",0,378,1778
Bartosz Kopacz,Zagłębie Lubin,Poland,PKO BP Ekstraklasa,67,CB,RB,normal,Lengthy,0.0,350,2,3,M,M,63,37,52,51,65,74,"188cm | 6'2""",0,342,1588
Eboue Kouassi,Arouca,Côte d'Ivoire,Liga Portugal,67,CDM,CM,normal,Controlled,0.0,200,2,3,M,H,65,46,58,61,65,69,"185cm | 6'1""",0,364,1682
Christos Kourfalidis,Cagliari,Greece,Serie A TIM,67,CM,CAM,normal,Controlled Explosive,0.0,0,3,3,H,H,71,58,67,70,59,64,"178cm | 5'10""",0,389,1851
Niklas Kreuzer,Hallescher FC,Germany,3. Liga,67,RB,"RWB,RW",normal,Mostly Explosive,0.0,300,3,3,H,M,78,59,65,65,58,71,"178cm | 5'10""",-1,396,1886
Ruben Kristiansen,SK Brann,Norway,Eliteserien,67,LB,"CB,LWB",normal,Controlled,0.0,250,2,3,M,M,73,47,58,62,63,68,"183cm | 6'0""",2,371,1739
Nicolas Kristof,SV Elversberg,Austria,Bundesliga 2,67,GK,0,normal,Controlled,300.0,0,1,5,M,M,70,66,66,70,23,68,"187cm | 6'2""",1,363,648
Mirlind Kryeziu,FC Zürich,Kosovo,CSSL,67,CB,0,normal,Controlled,250.0,0,2,2,L,M,36,36,48,50,65,79,"196cm | 6'5""",1,314,1454
Yuya Kubo,FC Cincinnati,Japan,MLS,67,CM,"CDM,LM",normal,Controlled Explosive,0.0,200,4,4,M,M,70,63,67,70,62,67,"178cm | 5'10""",1,399,1924
Christian Kühlwetter,Heidenheim,Germany,Bundesliga,67,ST,"RM,CF",normal,Controlled,0.0,300,3,3,M,M,67,66,61,68,34,73,"180cm | 5'11""",1,369,1788
Stjepan Kukuruzović,Lausanne-Sport,Croatia,CSSL,67,CM,CDM,normal,Controlled,0.0,300,3,5,M,M,55,66,73,63,54,65,"180cm | 5'11""",0,376,1855
Filip Kurto,Macarthur FC,Poland,A-League,67,GK,0,normal,Controlled Lengthy,200.0,0,1,3,M,M,67,63,60,69,49,66,"191cm | 6'3""",0,374,850
Hasan Kurucay,Braunschweig,Turkey,Bundesliga 2,67,CB,0,normal,Mostly Lengthy,200.0,0,2,3,M,H,61,39,40,42,65,75,"187cm | 6'2""",0,322,1500
Manuel Kuttin,Grasshopper Club,Austria,CSSL,67,GK,0,normal,Controlled,200.0,0,1,3,M,M,68,65,68,67,34,65,"195cm | 6'5""",0,367,796
Nika Kvekveskiri,Lech Poznań,Georgia,PKO BP Ekstraklasa,67,CDM,CM,normal,Controlled,0.0,250,3,3,M,M,58,59,69,66,63,60,"184cm | 6'0""",1,375,1819
Antonino La Gumina,Sampdoria,Italy,Serie BKT,67,ST,CF,normal,Controlled,0.0,200,3,3,H,M,75,67,60,67,36,69,"182cm | 6'0""",0,374,1775
Andrea La Mantia,Feralpisalò,Italy,Serie BKT,67,ST,CF,normal,Controlled Lengthy,0.0,200,3,3,M,L,54,66,41,61,29,78,"190cm | 6'3""",0,329,1530
Matías Laba,Barracas Central,Argentina,LPF,67,CDM,CM,normal,Controlled,0.0,200,2,2,L,M,66,50,61,63,63,72,"174cm | 5'9""",0,375,1791
Darryl Lachman,Perth Glory,Curaçao,A-League,67,CB,0,normal,Lengthy,300.0,0,2,3,H,M,70,43,54,59,63,81,"189cm | 6'2""",0,370,1673
Léo Lacroix,FCU 1948,Switzerland,SUPERLIGA,67,CB,0,normal,Controlled Lengthy,300.0,0,2,3,M,M,44,42,56,56,65,80,"197cm | 6'6""",1,343,1630
Tomás Lago Pontes Esteves,Pisa,Portugal,Serie BKT,67,RB,RWB,normal,Controlled,0.0,300,3,3,H,M,75,37,59,67,62,64,"180cm | 5'11""",1,364,1657
Mayckel Lahdo,AZ,Sweden,Eredivisie,67,RW,"RM,LW",normal,Mostly Explosive,0.0,250,3,3,M,M,83,60,59,72,27,54,"180cm | 5'11""",1,355,1611
Ali Lajami,Al Nassr,Saudi Arabia,ROSHN Saudi League,67,CB,"RB,LB",normal,Controlled Explosive,0.0,300,2,4,M,H,75,47,55,58,65,75,"178cm | 5'10""",1,375,1750
Łukasz Łakomy,BSC Young Boys,Poland,CSSL,67,CDM,CM,normal,Controlled Lengthy,0.0,200,2,3,H,H,67,55,61,64,61,69,"183cm | 6'0""",1,377,1752
Thomas Lam,PEC Zwolle,Finland,Eredivisie,67,CB,CDM,normal,Mostly Lengthy,0.0,200,2,4,M,M,65,52,59,60,66,75,"188cm | 6'2""",1,377,1780
Anthony Landázuri,Independiente DV,Ecuador,Libertadores,67,CB,RB,normal,Controlled,0.0,300,2,2,H,M,77,43,53,56,65,76,"178cm | 5'10""",0,370,1676
Hugo Larsson,Frankfurt,Sweden,Bundesliga,67,CM,CDM,normal,Controlled,0.0,350,2,3,H,H,76,56,60,67,60,75,"187cm | 6'2""",15,394,1836
Daniel Lasure Briz,SD Amorebieta,Spain,LALIGA HYPERMOTION,67,LB,"LWB,LM",normal,Controlled,0.0,250,2,3,M,M,69,44,57,60,63,72,"176cm | 5'9""",0,365,1750
Lion Lauberbach,KV Mechelen,Germany,1A Pro League,67,ST,"LM,CF",normal,Lengthy,0.0,200,3,4,H,M,77,64,59,66,39,76,"194cm | 6'4""",2,381,1734
Frederik Lauenborg,Randers FC,Denmark,3F Superliga,67,CM,0,normal,Controlled,200.0,0,2,3,M,H,65,54,65,67,66,74,"181cm | 5'11""",0,391,1859
Shayne Lavery,Blackpool,Northern Ireland,EFL League One,67,ST,CF,normal,Controlled Explosive,0.0,200,2,3,H,M,77,68,52,67,24,62,"182cm | 6'0""",3,350,1670
Jordan Lawrence-Gabriel,Blackpool,England,EFL League One,67,RB,RWB,normal,Controlled Explosive,0.0,300,2,2,H,M,82,34,52,64,63,65,"178cm | 5'10""",1,360,1652
Richard Ledezma,New York City FC,United States,MLS,67,CAM,CM,normal,Controlled Explosive,0.0,950,3,2,M,M,68,59,66,72,47,47,"174cm | 5'9""",0,359,1721
Soon Min Lee,GwangJu FC,Korea Republic,K League 1,67,CM,CDM,normal,Controlled,0.0,250,2,3,M,H,65,48,63,65,63,75,"177cm | 5'10""",0,379,1753
Tae Suk Lee,FC Seoul,Korea Republic,K League 1,67,LB,LWB,normal,Controlled Explosive,0.0,400,3,3,M,M,72,40,59,67,60,58,"174cm | 5'9""",0,356,1688
Gwang Hyeok Lee,Suwon FC,Korea Republic,K League 1,67,RM,"LM,RW",normal,Explosive,0.0,300,3,4,H,M,84,56,59,70,37,47,"169cm | 5'7""",0,353,1694
Tom Lees,Huddersfield,England,EFL Championship,67,CB,0,normal,Mostly Lengthy,250.0,0,2,2,L,M,54,36,55,61,66,74,"185cm | 6'1""",1,346,1603
Aníbal Leguizamón,CS Emelec,Argentina,Sudamericana,67,CB,0,normal,Controlled Lengthy,250.0,0,2,3,M,M,55,33,53,51,66,76,"182cm | 6'0""",0,334,1542
Nicolás Leguizamón,Central Córdoba,Argentina,LPF,67,ST,CF,normal,Controlled,0.0,300,3,2,M,L,67,67,60,66,38,69,"180cm | 5'11""",0,367,1744
Mario Leitgeb,Wolfsberger AC,Austria,Ö. Bundesliga,67,CDM,CM,normal,Controlled,0.0,250,2,3,M,M,34,55,60,60,68,70,"183cm | 6'0""",0,347,1730
Nicolas Lemaître,ESTAC Troyes,France,Ligue 2 BKT,67,GK,0,normal,Controlled,200.0,0,1,2,M,M,68,65,65,68,33,67,"185cm | 6'1""",0,366,746
Sebastián Lentinelly,Liverpool,Uruguay,Libertadores,67,GK,0,normal,Controlled,300.0,0,1,2,M,M,63,71,61,71,30,58,"184cm | 6'0""",0,354,716
Donovan Léon,AJ Auxerre,France,Ligue 2 BKT,67,GK,0,normal,Controlled Lengthy,200.0,0,1,2,M,M,67,65,65,69,47,65,"187cm | 6'2""",1,378,920
Karlo Letica,Lausanne-Sport,Croatia,CSSL,67,GK,0,normal,Controlled,300.0,0,1,3,M,M,69,62,62,68,32,68,"201cm | 6'7""",0,361,689
Shuai Li,Shanghai Port,China PR,CSL,67,LB,"LWB,LM",normal,Controlled Explosive,0.0,500,3,4,H,M,81,41,58,65,61,72,"180cm | 5'11""",1,378,1742
Nick Lima,Austin FC,United States,MLS,67,RB,"RWB,LB",normal,Controlled,0.0,200,3,4,H,H,79,61,60,67,61,73,"175cm | 5'9""",0,401,1861
Anthony Limbombe,Almere City FC,Belgium,Eredivisie,67,LW,"LM,ST",normal,Controlled Explosive,0.0,0,3,5,M,M,80,62,64,68,47,52,"177cm | 5'10""",3,373,1795
Gift Links,AGF,South Africa,3F Superliga,67,LWB,"LB,RW",normal,Explosive,0.0,300,3,3,H,M,85,55,64,71,56,65,"170cm | 5'7""",6,396,1830
Warleson Lisboa Oliveira,Cercle Brugge,Brazil,1A Pro League,67,GK,0,normal,Controlled,200.0,0,1,3,M,M,68,63,62,72,27,65,"190cm | 6'3""",1,357,694
Jesper Löfgren,Djurgårdens IF,Sweden,Allsvenskan,67,CB,0,normal,Controlled Lengthy,0.0,0,2,2,M,M,47,29,42,51,66,76,"193cm | 6'4""",1,311,1404
Felix Lohkemper,1. FC Nürnberg,Germany,Bundesliga 2,67,ST,"CF,RW,LW",normal,Controlled Explosive,0.0,300,3,3,M,M,75,65,57,68,31,50,"179cm | 5'10""",0,346,1631
Jason Lokilo,Hull City,Congo DR,EFL Championship,67,RW,"RM,CF,LW",normal,Explosive,0.0,300,3,3,M,M,85,63,60,71,28,56,"175cm | 5'9""",0,363,1693
Danijel Lončar,Pogoń Szczecin,Croatia,PKO BP Ekstraklasa,67,CB,CDM,normal,Mostly Lengthy,0.0,200,2,2,M,M,64,35,55,47,67,74,"189cm | 6'2""",1,342,1598
Noah Loosli,VfL Bochum,Switzerland,Bundesliga,67,CB,0,normal,Mostly Lengthy,300.0,0,2,3,L,M,70,44,47,55,66,76,"186cm | 6'1""",1,358,1603
Marc Lorenz,Preußen Münster,Germany,3. Liga,67,LM,LW,normal,Controlled,0.0,200,3,2,M,M,74,56,69,65,48,69,"182cm | 6'0""",2,381,1840
