p_name,p_club,p_nation,p_league,p_rating,p_position,Alternate_Positions,Card_Version,Run_Style,Skills_Star,Weak_Foot_Star,Attack_Workrate,Defense_Workrate,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defense / Speed,Physical / Positioning,Height
Pablo Tomeo Félez,CD Mirandés,Spain,LALIGA HYPERMOTION,64,CM,0,normal,Controlled Lengthy,2,3,M,H,62,54,60,63,62,68,"186cm | 6'1"""
Dmytro Topalov,Shakhtar Donetsk,Ukraine,Ukrayina Liha,64,LB,"LWB,LM",normal,Controlled,3,2,M,M,67,50,57,66,59,46,"176cm | 5'9"""
Emirhan Topçu,Çaykur Rizespor,Turkey,Trendyol Süper Lig,64,CB,LB,normal,Controlled Lengthy,2,2,M,M,49,33,50,59,65,67,"188cm | 6'2"""
Juan Pablo Torres,Atl. Nacional,Colombia,Libertadores,64,LM,"RB,LW",normal,Controlled,4,4,M,M,64,44,60,66,53,47,"170cm | 5'7"""
Tomas Totland,BK Häcken,Norway,Allsvenskan,64,RB,RWB,normal,Mostly Explosive,2,3,M,M,81,32,49,66,55,63,"181cm | 5'11"""
Nabil Zoubdi Touaizi,RCD Espanyol,Morocco,LALIGA HYPERMOTION,64,ST,"LM,CF",normal,Controlled,3,3,H,M,76,61,60,68,31,59,"183cm | 6'0"""
Saikou Touray,Grenoble Foot 38,Gambia,Ligue 2 BKT,64,CM,CAM,normal,Controlled,2,2,L,M,62,52,61,65,54,64,"175cm | 5'9"""
Ben Tozer,Wrexham AFC,England,EFL League Two,64,CB,0,normal,Controlled Lengthy,2,3,L,H,38,42,48,49,63,80,"185cm | 6'1"""
Adama Traoré,Melb. Victory,Côte d'Ivoire,A-League,64,LB,LWB,normal,Controlled,2,3,M,M,73,53,59,64,59,75,"170cm | 5'7"""
Gaoussou Traoré,US Concarneau,France,Ligue 2 BKT,64,CDM,CM,normal,Controlled,3,2,M,M,50,39,58,63,62,64,"173cm | 5'8"""
Milosz Trojak,Korona Kielce,Poland,PKO BP Ekstraklasa,64,CB,CDM,normal,Controlled Lengthy,2,2,M,M,55,47,59,58,63,72,"191cm | 6'3"""
Jack Tucker,MK Dons,England,EFL League Two,64,CB,0,normal,Lengthy,2,3,M,H,63,30,45,49,62,77,"192cm | 6'4"""
Jesse Tugbenyo,SC Paderborn 07,Germany,Bundesliga 2,64,RM,"CAM,RW",normal,Controlled Lengthy,2,2,M,H,73,41,62,65,57,69,"187cm | 6'2"""
Cem Türkmen,MKE Ankaragücü,Turkey,Trendyol Süper Lig,64,CDM,CM,normal,Controlled,2,3,M,M,58,44,58,67,62,60,"178cm | 5'10"""
Ema Twumasi,FC Dallas,Ghana,MLS,64,RB,"RWB,RM",normal,Controlled,3,3,L,H,75,53,56,68,58,64,"173cm | 5'8"""
Stefanos Tzimas,PAOK FC,Greece,Hellas Liga,64,ST,CF,normal,Controlled,3,3,H,M,76,63,48,63,31,62,"184cm | 6'0"""
Henrik Udahl,HamKam Fotball,Norway,Eliteserien,64,ST,CF,normal,Controlled,2,4,H,M,72,64,46,59,23,68,"186cm | 6'1"""
Adnan Ugur,Karagümrük SK,Turkey,Trendyol Süper Lig,64,CM,CDM,normal,Controlled Explosive,3,3,M,M,70,53,65,69,61,63,"174cm | 5'9"""
Alper Uludağ,MKE Ankaragücü,Turkey,Trendyol Süper Lig,64,LB,LWB,normal,Controlled,3,3,M,M,66,61,61,64,61,68,"180cm | 5'11"""
Luca Unbehaun,SC Verl,Germany,3. Liga,64,GK,0,normal,Controlled,1,3,M,M,59,61,69,68,41,64,"185cm | 6'1"""
Iker Unzueta Arregui,FC Vizela,Spain,Liga Portugal,64,ST,"LM,CF",normal,Controlled,2,3,M,M,62,67,51,63,22,59,"184cm | 6'0"""
Osaze Urhoghide,Amiens SC,England,Ligue 2 BKT,64,CB,RB,normal,Controlled Lengthy,2,3,M,H,77,28,47,60,61,73,"188cm | 6'2"""
Tomislav Uskok,Macarthur FC,Australia,A-League,64,CB,0,normal,Controlled Lengthy,2,3,L,M,56,35,47,50,61,79,"196cm | 6'5"""
Santeri Väänänen,Rosenborg BK,Finland,Eliteserien,64,CDM,CM,normal,Controlled Explosive,2,3,M,M,71,48,58,64,61,65,"177cm | 5'10"""
Pilip Vaitsiakhovich,IFK Värnamo,Belarus,Allsvenskan,64,GK,0,normal,Controlled,1,2,M,M,67,64,59,65,40,64,"194cm | 6'4"""
Pol Valentín Sancho,Sheffield Wed,Spain,EFL Championship,64,RB,"RWB,RM",normal,Mostly Explosive,3,3,H,M,89,39,55,64,55,67,"178cm | 5'10"""
Benjamin Van Durmen,FCU 1948,Belgium,SUPERLIGA,64,LM,"LB,CDM,LW",normal,Controlled Lengthy,2,3,M,H,62,59,62,61,61,72,"185cm | 6'1"""
Yentl Van Genechten,KAS Eupen,Belgium,1A Pro League,64,RB,"RWB,CB",normal,Controlled Lengthy,2,3,H,M,61,36,58,59,61,69,"191cm | 6'3"""
Jeremy van Mullem,Sparta Rotterdam,Holland,Eredivisie,64,CDM,CM,normal,Controlled Lengthy,2,3,L,H,66,32,49,52,65,69,"184cm | 6'0"""
Terence Vancooten,Stevenage,Guyana,EFL League One,64,CB,0,normal,Controlled Lengthy,2,3,L,M,70,37,51,56,63,72,"185cm | 6'1"""
Ádám Varga,Ferencvárosi TC,Hungary,Magyar Liga,64,GK,0,normal,Controlled,1,2,M,M,63,64,60,65,24,65,"191cm | 6'3"""
José Vargas,Palmaflor,Bolivia,Sudamericana,64,CDM,CM,normal,Controlled,2,3,M,M,65,36,56,61,59,71,"183cm | 6'0"""
Obed Vargas,Sounders FC,United States,MLS,64,CM,"CDM,RM",normal,Controlled Explosive,3,3,H,M,73,42,62,71,55,50,"175cm | 5'9"""
Matías Vásquez,Club Magallanes,Chile,Sudamericana,64,RB,"RWB,CB",normal,Controlled,2,3,M,H,72,25,53,58,61,71,"179cm | 5'10"""
Iván Vásquez,Club Magallanes,Chile,Sudamericana,64,CM,"CB,CDM",normal,Controlled,2,3,L,H,36,44,67,61,58,61,"169cm | 5'7"""
Kyle Vassell,Kilmarnock,Northern Ireland,cinch Prem,64,ST,CF,normal,Controlled Lengthy,2,5,H,M,75,65,49,62,34,72,"183cm | 6'0"""
Theo Vassell,Salford City,England,EFL League Two,64,CB,0,normal,Controlled Lengthy,2,4,H,M,72,37,53,56,64,72,"184cm | 6'0"""
Gabriel Vașvari,Politehnica Iași,Romania,SUPERLIGA,64,CDM,CM,normal,Controlled,2,2,M,M,51,59,61,61,61,67,"179cm | 5'10"""
Rocco Vata,Celtic,Republic of Ireland,cinch Prem,64,RW,"RM,LW",normal,Mostly Explosive,4,3,H,M,86,55,55,67,31,51,"178cm | 5'10"""
Harry Vaughan,Hull City,Republic of Ireland,EFL Championship,64,LW,"LM,CAM",normal,Controlled Explosive,3,3,H,M,74,53,63,71,41,40,"170cm | 5'7"""
Keziah Veendorp,Bengaluru FC,Holland,Hero ISL,64,CDM,"RWB,CB",normal,Controlled Lengthy,2,4,L,M,61,49,57,55,62,74,"187cm | 6'2"""
Jhon Vélez,Junior,Colombia,Sudamericana,64,CM,CDM,normal,Controlled,2,3,M,M,63,48,61,61,49,63,"178cm | 5'10"""
Michael Venturi,Cosenza,Italy,Serie BKT,64,CB,0,normal,Controlled,2,3,M,M,58,48,60,60,66,54,"193cm | 6'4"""
José Vera,Gral. Caballero,Paraguay,Sudamericana,64,CM,CDM,normal,Controlled,3,3,M,M,52,55,58,64,61,62,"179cm | 5'10"""
Matías Verdún,Tacuary,Paraguay,Sudamericana,64,RM,RW,normal,Controlled Explosive,3,3,H,L,72,54,60,64,30,65,"170cm | 5'7"""
Kenneth Vermeer,PEC Zwolle,Holland,Eredivisie,64,GK,0,normal,Controlled,1,4,M,M,64,61,64,67,45,64,"181cm | 5'11"""
Niklas Vesterlund,Tromsø IL,Denmark,Eliteserien,64,RWB,"RB,LWB,RM",normal,Controlled,3,4,H,M,72,52,54,62,58,71,"185cm | 6'1"""
Manuel Vicentini,Belgrano,Argentina,LPF,64,GK,0,normal,Controlled Lengthy,1,3,M,M,65,63,65,64,44,63,"187cm | 6'2"""
Martí Vilà García,FC Andorra,Spain,LALIGA HYPERMOTION,64,LB,"CB,LWB",normal,Controlled,2,2,M,M,65,42,57,62,59,60,"166cm | 5'5"""
Ionuț Vînă,Farul Constanța,Romania,SUPERLIGA,64,CM,RW,normal,Controlled Explosive,3,3,H,M,72,61,60,67,62,70,"180cm | 5'11"""
Panagiotis Vlachodimos,Dynamo Dresden,Greece,3. Liga,64,LW,LM,normal,Controlled,3,3,M,M,75,59,62,66,34,59,"184cm | 6'0"""
René Vollath,Unterhaching,Germany,3. Liga,64,GK,0,normal,Controlled,1,3,M,M,63,61,59,65,39,64,"185cm | 6'1"""
Patrick Vroegh,RKC Waalwijk,Holland,Eredivisie,64,CM,CDM,normal,Controlled,2,3,H,H,57,54,62,64,56,61,"175cm | 5'9"""
Ben Waine,Plymouth Argyle,New Zealand,EFL Championship,64,ST,CF,normal,Controlled,2,3,H,M,79,64,56,63,44,74,"179cm | 5'10"""
Jamie Walker,Bradford City,Scotland,EFL League Two,64,CAM,0,normal,Controlled Explosive,3,3,M,L,78,62,63,67,45,65,"175cm | 5'9"""
Michał Walski,Puszcza,Poland,PKO BP Ekstraklasa,64,CDM,CM,normal,Controlled Explosive,2,3,M,M,75,54,63,65,61,68,"169cm | 5'7"""
Nikolas Walstad,Stabæk Fotball,Norway,Eliteserien,64,LWB,LB,normal,Mostly Lengthy,2,2,H,M,80,36,48,57,58,74,"189cm | 6'2"""
Ziming Wang,Beijing Guoan,China PR,CSL,64,ST,"RM,CF",normal,Mostly Lengthy,3,2,M,L,81,62,50,62,32,71,"187cm | 6'2"""
Grant Ward,Bristol Rovers,England,EFL League One,64,CM,CDM,normal,Controlled Explosive,3,3,M,M,70,59,64,65,56,63,"178cm | 5'10"""
Magnus Warming,SK Brann,Denmark,Eliteserien,64,LW,LM,normal,Controlled,3,3,M,L,75,58,55,70,33,49,"188cm | 6'2"""
Lewis Warrington,Plymouth Argyle,England,EFL Championship,64,CDM,CM,normal,Controlled,2,3,M,M,66,51,61,65,60,60,"175cm | 5'9"""
Taylor Washington,Nashville SC,United States,MLS,64,LB,"LWB,LM",normal,Controlled,2,2,L,H,73,25,44,48,63,56,"178cm | 5'10"""
Marley Watkins,Kilmarnock,Wales,cinch Prem,64,ST,"RM,CF,LW",normal,Controlled,3,4,M,M,72,62,60,66,28,64,"178cm | 5'10"""
Nicolás Watson,Instituto,Argentina,LPF,64,CDM,CM,normal,Controlled,2,3,M,M,61,42,58,59,62,61,"175cm | 5'9"""
Max Watters,Barnsley,England,EFL League One,64,ST,CF,normal,Controlled,3,3,H,M,76,62,51,62,31,64,"181cm | 5'11"""
Zhen Wei,Shanghai Port,China PR,CSL,64,CB,0,normal,Controlled Lengthy,2,2,M,M,66,34,54,51,64,70,"188cm | 6'2"""
Maximilian Welzmüller,Unterhaching,Germany,3. Liga,64,CDM,CM,normal,Controlled,2,3,M,M,66,49,62,59,60,65,"177cm | 5'10"""
Sem Westerveld,AZ,Spain,Eredivisie,64,GK,0,normal,Controlled,1,3,M,M,65,63,61,66,28,64,"191cm | 6'3"""
David Wheeler,Wycombe,England,EFL League One,64,CM,RM,normal,Controlled Explosive,3,3,H,M,78,61,62,64,60,69,"180cm | 5'11"""
Jordan White,Ross County,Scotland,cinch Prem,64,ST,CF,normal,Controlled Lengthy,2,3,H,M,46,65,49,57,28,74,"193cm | 6'4"""
Eirik Wichne,Sarpsborg 08,Norway,Eliteserien,64,RB,RWB,normal,Controlled Explosive,2,3,M,M,78,44,59,60,58,67,"174cm | 5'9"""
David Williams,Perth Glory,Australia,A-League,64,ST,"LM,CF",normal,Controlled Explosive,3,4,H,L,79,62,54,63,39,71,"174cm | 5'9"""
Randell Williams,Bolton,England,EFL League One,64,LWB,"RWB,LB,RM",normal,Explosive,3,4,H,L,88,59,60,67,53,62,"175cm | 5'9"""
Frederik Winther,FC Augsburg,Denmark,Bundesliga,64,CB,0,normal,Controlled Lengthy,2,2,M,M,55,31,51,58,65,64,"190cm | 6'3"""
Szymon Włodarczyk,SK Sturm Graz,Poland,Ö. Bundesliga,64,ST,CF,normal,Controlled,2,3,M,L,71,66,45,62,22,63,"189cm | 6'2"""
Owen Wolff,Austin FC,United States,MLS,64,CDM,"RM,CM",normal,Controlled Explosive,3,3,M,M,72,44,61,67,60,53,"175cm | 5'9"""
Krzysztof Wołkowicz,Stal Mielec,Poland,PKO BP Ekstraklasa,64,LWB,"LB,LM",normal,Controlled,2,3,M,M,78,57,60,60,54,67,"180cm | 5'11"""
Jojo Wollacott,Hibernian,Ghana,cinch Prem,64,GK,0,normal,Controlled,1,2,M,M,65,63,62,64,41,64,"190cm | 6'3"""
Andrew Wooten,Preußen Münster,United States,3. Liga,64,ST,CF,normal,Mostly Lengthy,3,3,M,M,65,64,62,62,34,72,"186cm | 6'1"""
Scott Wootton,Well. Phoenix,England,A-League,64,CB,0,normal,Controlled Lengthy,2,3,L,M,50,29,47,52,63,75,"188cm | 6'2"""
Marius Wörl,Arminia Bielefeld,Germany,3. Liga,64,CDM,CM,normal,Controlled,2,3,M,M,64,46,60,60,62,61,"178cm | 5'10"""
David Worrall,Barrow,England,EFL League Two,64,RWB,RB,normal,Controlled Explosive,3,4,H,L,75,59,61,63,54,61,"170cm | 5'7"""
Drey Wright,St. Johnstone,England,cinch Prem,64,RWB,"RB,RM,RW",normal,Mostly Explosive,3,3,H,M,79,55,58,63,55,64,"175cm | 5'9"""
Jannes Wulff,VfL Osnabrück,Germany,Bundesliga 2,64,CAM,CM,normal,Controlled Lengthy,2,4,M,M,74,60,62,64,54,69,"182cm | 6'0"""
Vasilios Xenopoulos,Panathinaikos,Greece,Hellas Liga,64,GK,0,normal,Controlled,1,3,M,M,67,59,57,68,30,64,"185cm | 6'1"""
Ayman Yahya,Al Nassr,Saudi Arabia,ROSHN Saudi League,64,RM,"LM,RW",normal,Mostly Explosive,3,3,H,M,84,59,55,65,32,65,"171cm | 5'7"""
Shuai Yang,Henan SSLM FC,China PR,CSL,64,CB,0,normal,Mostly Lengthy,2,2,L,M,61,35,44,42,62,78,"187cm | 6'2"""
Joshua Yaro,St. Louis CITY SC,Ghana,MLS,64,CB,0,normal,Controlled Explosive,2,2,M,H,76,39,47,55,64,67,"180cm | 5'11"""
Patrick Yazbek,Viking FK,Australia,Eliteserien,64,CDM,CM,normal,Controlled,2,3,H,H,68,48,60,61,61,70,"178cm | 5'10"""
Ugurcan Yazgili,Konyaspor,Turkey,Trendyol Süper Lig,64,CB,"RB,CDM",normal,Mostly Lengthy,2,2,M,M,54,34,42,48,63,71,"184cm | 6'0"""
Muammer Yıldırım,Sivasspor,Turkey,Trendyol Süper Lig,64,GK,0,normal,Controlled,1,2,M,M,63,64,59,65,26,66,"190cm | 6'3"""
Ibrahim Yilmaz,İstanbulspor,Turkey,Trendyol Süper Lig,64,ST,CF,normal,Controlled Lengthy,2,2,M,L,67,61,51,64,28,62,"184cm | 6'0"""
Saku Ylätupa,Kalmar FF,Finland,Allsvenskan,64,CAM,"CF,RW",normal,Mostly Explosive,3,4,M,M,80,57,60,69,28,57,"170cm | 5'7"""
Wilitty Younoussa,Rodez AF,Cameroon,Ligue 2 BKT,64,CDM,CM,normal,Controlled Explosive,2,3,M,M,70,46,59,65,63,51,"174cm | 5'9"""
Hanchao Yu,Shanghai Shenhua,China PR,CSL,64,LM,"RM,LW",normal,Controlled,3,4,H,M,71,61,63,64,40,61,"179cm | 5'10"""
Miguel Zabaco Tomé,NorthEast United,Spain,Hero ISL,64,CB,LB,normal,Controlled Lengthy,2,3,M,M,47,39,50,45,63,72,"185cm | 6'1"""
Cristian Zabala,Tigre,Argentina,Sudamericana,64,CM,"RM,CAM",normal,Controlled Lengthy,3,2,M,M,65,53,64,64,57,69,"187cm | 6'2"""
Danijel Zagorac,Dinamo Zagreb,Croatia,Liga Hrvatska,64,GK,0,normal,Controlled,1,2,M,M,65,64,61,66,43,60,"186cm | 6'1"""
Oliver Zandén,Toulouse FC,Sweden,Ligue 1 Uber Eats,64,LB,LWB,normal,Controlled,2,3,H,H,62,40,60,54,62,62,"179cm | 5'10"""
Eroll Zejnullahu,1860 München,Kosovo,3. Liga,64,CAM,"RM,CM",normal,Controlled Explosive,3,3,M,M,72,58,63,67,59,62,"177cm | 5'10"""
Rafik Zekhnini,Sarpsborg 08,Norway,Eliteserien,64,RM,"LM,RW,ST",normal,Mostly Explosive,3,4,H,M,86,55,55,67,30,44,"179cm | 5'10"""
Héctor Zeta,Binacional,Peru,Sudamericana,64,ST,CF,normal,Controlled Explosive,3,3,M,L,71,59,51,65,20,62,"178cm | 5'10"""
Honglue Zhao,Cangzhou FC,China PR,CSL,64,LWB,LB,normal,Controlled,3,3,M,M,64,35,55,61,60,61,"174cm | 5'9"""
Robin Ziegele,Jahn Regensburg,Germany,3. Liga,64,CB,0,normal,Controlled Lengthy,2,3,M,M,66,28,38,48,63,75,"183cm | 6'0"""
Pawel Zielinski,Widzew Łódź,Poland,PKO BP Ekstraklasa,64,RB,"RWB,RM",normal,Controlled,2,2,H,H,73,49,57,58,59,72,"178cm | 5'10"""
Declan John,Salford City,Wales,EFL League Two,64,LWB,LB,Normal,Mostly Explosive,3,2,H,M,85,54,59,67,56,61,"178cm | 5'10"""
Jamie McCart,Barnsley,Scotland,EFL League One,64,CB,0,Normal,Mostly Lengthy,2,4,M,H,65,30,43,53,63,75,"186cm | 6'1"""
Kyle Edwards,Oxford United,England,EFL League One,64,LM,"RM,LW",Normal,Controlled Explosive,4,3,M,M,78,57,59,69,40,51,"172cm | 5'8"""
Diallang Jaiyesimi,St. Johnstone,England,cinch Prem,64,RW,"RWB,RM,LM",Normal,Mostly Explosive,4,3,M,M,91,56,58,65,50,60,"178cm | 5'10"""
Brandon Fleming,Shrewsbury,England,EFL League One,64,LB,"LWB,LM",Normal,Controlled Explosive,2,2,H,M,73,36,57,64,60,57,"174cm | 5'9"""
Abdulfatah Adam,Al Taawoun,Saudi Arabia,ROSHN Saudi League,64,ST,CF,Normal,Controlled Explosive,2,4,H,L,77,63,47,64,19,62,"180cm | 5'11"""
Scott High,Ross County,Scotland,cinch Prem,64,CM,0,Normal,Controlled Explosive,2,3,H,H,71,57,63,64,58,65,"177cm | 5'10"""
Mads Sande,SK Brann,Norway,Eliteserien,64,RM,"CM,RW",Normal,Controlled,3,3,H,H,73,52,58,62,48,66,"181cm | 5'11"""
Pape Ibnou Ba,US Concarneau,Mauritania,Ligue 2 BKT,64,ST,CF,Normal,Controlled,3,3,H,L,68,63,51,63,26,69,"174cm | 5'9"""
Junior Tchamadeu,Stoke City,England,EFL Championship,64,RWB,RB,Normal,Controlled Explosive,2,3,H,M,82,54,54,64,55,71,"180cm | 5'11"""
Mohamed Sankoh,Heracles Almelo,Holland,Eredivisie,64,ST,CF,Normal,Controlled,3,2,M,M,78,62,50,65,24,54,"183cm | 6'0"""
Emirhan İlkhan,Başakşehir,Turkey,Trendyol Süper Lig,64,CM,"CAM,RW",Normal,Controlled,3,3,H,M,66,58,63,70,50,48,"175cm | 5'9"""
Calvin Brackelmann,SC Paderborn 07,Germany,Bundesliga 2,64,CB,LWB,Normal,Lengthy,2,3,H,M,67,47,57,52,61,77,"196cm | 6'5"""
Xavier Simons,Fleetwood Town,England,EFL League One,64,CDM,"RB,CM",Normal,Controlled,3,3,M,H,67,49,62,63,61,68,"183cm | 6'0"""
Pathé Mboup,RWD Molenbeek,Senegal,1A Pro League,64,LW,LM,Normal,Mostly Explosive,3,3,M,M,82,62,52,67,22,48,"175cm | 5'9"""
Pione Sisto,Alanyaspor,Denmark,Trendyol Süper Lig,64,LW,LM,Rare,Controlled Explosive,3,4,M,M,67,63,63,68,45,57,"171cm | 5'7"""
Carlos Mateo Abastoflor,Guabirá,Bolivia,Sudamericana,63,CM,"LM,ST",normal,Controlled Explosive,4,3,H,H,75,58,60,63,50,54,"170cm | 5'7"""
Ahmed Abdu,Abha Club,Saudi Arabia,ROSHN Saudi League,63,ST,CF,normal,Controlled,2,3,M,L,60,65,48,60,20,61,"175cm | 5'9"""
Olivier Aertssen,Ajax,Holland,Eredivisie,63,CB,0,normal,Controlled,2,4,M,M,63,30,53,54,65,58,"182cm | 6'0"""
Lucas Agazzi,Defensor,Uruguay,Sudamericana,63,RW,"RB,RM",normal,Controlled Explosive,3,3,M,M,71,57,58,65,63,66,"182cm | 6'0"""
Gassan Ahadme,Cambridge Utd,Morocco,EFL League One,63,ST,CF,normal,Mostly Lengthy,3,2,H,M,67,60,50,61,30,70,"188cm | 6'2"""
Tae Hyun Ahn,Jeju United,Korea Republic,K League 1,63,LWB,"RWB,LB",normal,Controlled Explosive,3,3,H,M,75,56,52,62,57,64,"174cm | 5'9"""
Hosam Aiesh,FC Seoul,Syria,K League 1,63,RM,RW,normal,Mostly Explosive,4,4,M,M,83,56,55,64,43,67,"180cm | 5'11"""
Will Aimson,Exeter City,England,EFL League One,63,CB,0,normal,Mostly Lengthy,2,2,M,H,56,32,45,49,62,69,"186cm | 6'1"""
İbrahim Akdağ,Pendikspor,Turkey,Trendyol Süper Lig,63,CDM,CM,normal,Controlled,2,3,M,M,54,50,61,58,61,59,"179cm | 5'10"""
Oguzhan Akgün,Beşiktaş,Turkey,Trendyol Süper Lig,63,LM,LW,normal,Mostly Explosive,2,3,M,M,79,64,51,70,27,50,"175cm | 5'9"""
Cyrill Akono,VfB Lübeck,Germany,3. Liga,63,ST,"LM,CF",normal,Controlled Lengthy,2,2,H,M,71,61,50,61,28,68,"190cm | 6'3"""
Michael Akoto,AGF,Ghana,3F Superliga,63,CDM,"RB,CB",normal,Controlled Lengthy,2,3,M,M,69,32,52,55,66,73,"188cm | 6'2"""
Talal Al Absi,Al Hazem,Saudi Arabia,ROSHN Saudi League,63,CB,0,normal,Controlled,2,3,L,H,53,25,39,47,64,68,"177cm | 5'10"""
Ali Al Asmari,Al Ahli,Saudi Arabia,ROSHN Saudi League,63,CDM,CM,normal,Controlled Lengthy,2,3,M,M,66,56,60,64,58,69,"185cm | 6'1"""
Abdullah Al Fahad,Al Raed,Saudi Arabia,ROSHN Saudi League,63,CB,0,normal,Controlled,2,3,M,M,73,46,51,55,62,71,"178cm | 5'10"""
Mohammed Al Fehaid,Al Fateh,Saudi Arabia,ROSHN Saudi League,63,CDM,"CB,CM",normal,Controlled,2,3,L,H,51,41,54,57,60,72,"174cm | 5'9"""
Abdullah Al Hafith,Al Wehda,Saudi Arabia,ROSHN Saudi League,63,CB,0,normal,Controlled,2,3,L,H,33,36,49,45,62,74,"185cm | 6'1"""
Abdullah Al Khatib,Ettifaq FC,Saudi Arabia,ROSHN Saudi League,63,CB,LB,normal,Controlled Lengthy,2,3,M,H,73,26,43,56,61,72,"186cm | 6'1"""
Rayan Al Mousa,Damac FC,Saudi Arabia,ROSHN Saudi League,63,CDM,0,normal,Controlled,2,3,L,M,59,42,55,57,62,71,"175cm | 5'9"""
Nouh Al Mousa,Al Fateh,Saudi Arabia,ROSHN Saudi League,63,CDM,CM,normal,Controlled,2,3,M,M,46,52,62,64,59,65,"169cm | 5'7"""
Ziyad Al Sahafi,Al Ittihad,Saudi Arabia,ROSHN Saudi League,63,CB,0,normal,Controlled Lengthy,2,2,L,H,44,56,52,51,60,75,"185cm | 6'1"""
Hamad Al Yami,Al Hilal,Saudi Arabia,ROSHN Saudi League,63,RB,"RWB,LB",normal,Mostly Explosive,2,3,H,L,85,56,56,63,54,57,"173cm | 5'8"""
Ibrahim Al Zubaidi,Al Ahli,Saudi Arabia,ROSHN Saudi League,63,LB,LWB,normal,Controlled,2,3,H,M,67,33,54,63,59,67,"172cm | 5'8"""
José Pascual Alba Seva,Almere City FC,Spain,Eredivisie,63,CM,"CAM,RW",normal,Controlled,3,4,M,M,57,58,64,63,56,44,"184cm | 6'0"""
Néstor Albiach Roger,NorthEast United,Spain,Hero ISL,63,CAM,"RM,CF",normal,Controlled,3,1,M,M,69,62,62,67,25,69,"187cm | 6'2"""
Albiar Serrano,UD Almería,Spain,LALIGA EA SPORTS,63,CM,CDM,normal,Controlled,2,3,M,M,66,53,66,67,56,45,"173cm | 5'8"""
Joel Allansson,Halmstads BK,Sweden,Allsvenskan,63,CM,LM,normal,Controlled,2,3,M,M,58,49,64,66,52,62,"174cm | 5'9"""
P. Justiniano Almeida Gomes,FC Petrolul,Guinea-Bissau,SUPERLIGA,63,CB,0,normal,Lengthy,2,2,M,M,60,31,35,42,62,76,"190cm | 6'3"""
Agustin Alonso,Platense,Argentina,LPF,63,RM,"CF,RW",normal,Controlled,3,3,H,M,69,63,57,64,34,51,"180cm | 5'11"""
Alejandro Alvarado,FC Vizela,United States,Liga Portugal,63,CAM,0,normal,Controlled,3,2,M,M,66,51,66,63,44,46,"173cm | 5'8"""
Efrain Alvarez,LA Galaxy,Mexico,MLS,63,RM,"CAM,RW",normal,Controlled,3,1,M,L,67,59,63,68,25,42,"173cm | 5'8"""
Gonzalo Álvarez,Audax Italiano,Chile,Sudamericana,63,RW,RM,normal,Controlled Explosive,3,2,H,M,74,60,52,67,26,44,"170cm | 5'7"""
Frederik Alves,Brøndby IF,Denmark,3F Superliga,63,CB,0,normal,Controlled Lengthy,2,3,M,M,49,31,43,49,63,72,"195cm | 6'5"""
Gonzalo Álvez,Central Córdoba,Argentina,LPF,63,RM,"LM,RW,ST",normal,Controlled Explosive,3,1,M,M,68,55,61,66,25,39,"169cm | 5'7"""
Salomon Patrick Amougou Nkoa,Hansa Rostock,Cameroon,Bundesliga 2,63,CB,0,normal,Mostly Lengthy,2,3,M,M,65,28,43,41,60,74,"192cm | 6'4"""
Byong Jun An,Suwon Samsung,Korea DPR,K League 1,63,ST,CF,normal,Mostly Lengthy,2,4,H,M,57,68,49,57,30,72,"183cm | 6'0"""
Tom Anderson,Doncaster,England,EFL League Two,63,CB,0,normal,Controlled,2,2,L,M,34,33,41,38,62,78,"193cm | 6'4"""
Jökull Andrésson,Carlisle United,Iceland,EFL League One,63,GK,0,normal,Controlled,1,3,M,M,63,61,60,64,25,61,"194cm | 6'4"""
Agustín Anello,Sparta Rotterdam,United States,Eredivisie,63,LM,"RM,LW",normal,Mostly Explosive,3,2,M,M,79,59,52,69,31,55,"182cm | 6'0"""
Nick Ansell,Adelaide United,Australia,A-League,63,CB,0,normal,Controlled Lengthy,2,3,L,M,41,29,45,44,62,79,"186cm | 6'1"""
Marvelous Antolín Garzón,Real Madrid,Spain,LALIGA EA SPORTS,63,CB,0,normal,Mostly Lengthy,2,3,M,L,69,32,46,52,60,68,"184cm | 6'0"""
João Pedro Eira Antunes Silva,KV Kortrijk,Portugal,1A Pro League,63,CB,0,normal,Controlled Lengthy,2,3,M,M,59,24,41,45,63,69,"187cm | 6'2"""
Daniel Anyembe,Viborg FF,Kenya,3F Superliga,63,RB,"RWB,LB",normal,Controlled,2,3,H,M,83,45,56,65,55,68,"189cm | 6'2"""
Cristhian Árabe,O. Petrolero,Bolivia,Sudamericana,63,CM,RM,normal,Controlled,3,3,M,M,58,58,63,69,53,60,"175cm | 5'9"""
Alex Arancibia,Bolívar,Bolivia,Libertadores,63,GK,0,normal,Controlled,1,3,M,M,63,61,62,62,26,64,"188cm | 6'2"""
Paul Arano,The Strongest,Bolivia,Libertadores,63,LM,LW,normal,Controlled,3,3,H,M,66,61,54,66,39,65,"187cm | 6'2"""
Allan Arigoni,FC Lugano,Switzerland,CSSL,63,RB,"RWB,CB",normal,Controlled,2,2,M,H,89,38,50,60,58,74,"184cm | 6'0"""
